age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,manager_comments
67,,159542,5th-6th,3,Widowed,,Unmarried,Black,Female,0,0,40,United-States,<=50K,[INDIVIDU_1] a conflict with [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
48,Private,101684,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,[INDIVIDU_1] requested a transfer. Approved by Courtney Miller. Reach them at [PHONE] for handover. [INDIVIDU_2].
49,Self-emp-not-inc,99335,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by Brittany Garcia on 2025-02-11.
58,Self-emp-not-inc,143731,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,72,United-States,>50K,Plan d'accompagnement ouvert pour [INDIVIDU_1]. Coaching confié à [INDIVIDU_2] ([EMAIL]).
39,Private,245053,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Strong year for [INDIVIDU_1]. Bonus wired to account [IBAN]. Validated by [INDIVIDU_2] on 2025-08-03.
38,State-gov,31352,Some-college,10,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,>50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
75,Self-emp-inc,125197,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,26,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. Manager Amy Pittman ([EMAIL]) to follow up by 2025-07-13. Reference ticket HR-65938.
26,Private,324854,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,[INDIVIDU_1] requested a transfer. Approved by [INDIVIDU_2]. Reach them at [PHONE] for handover. [INDIVIDU_3].
37,Private,259785,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Alerte comportementale signalée par [INDIVIDU_1] au sujet de [INDIVIDU_2]. Suivi RH : [EMAIL].
48,Self-emp-inc,481987,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,Prime versée à [INDIVIDU_1] sur le compte [IBAN]. Contrôle : [INDIVIDU_2].
23,Private,149224,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Performance below target for [INDIVIDU_1]. Action plan owned by [INDIVIDU_2]. [INDIVIDU_3].
23,Private,65481,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K,Alerte comportementale signalée par [INDIVIDU_1] au sujet de [INDIVIDU_2]. Suivi RH : [EMAIL].
34,Private,261799,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,>50K,RAS pour [INDIVIDU_1] cette année. Manager : [INDIVIDU_2].
55,Self-emp-not-inc,95149,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,99,United-States,<=50K,Onboarding complete for Jennifer Long. [INDIVIDU_1] assigned: [INDIVIDU_2] ([EMAIL]). No issues.
39,Private,225330,Bachelors,13,Widowed,Prof-specialty,Unmarried,White,Female,0,0,50,Poland,>50K,"[INDIVIDU_1] on extended leave since 2025-07-20. [INDIVIDU_2] discussed with Michael Key, [PHONE]."
55,Private,160662,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,>50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
65,,106910,11th,7,Divorced,,Not-in-family,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K,"[INDIVIDU_1] on extended leave since 2025-03-16. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
26,Private,167761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Behavioral concern raised by colleague [INDIVIDU_1]. [INDIVIDU_2] ([EMAIL]) to follow up by 2025-05-09. Reference ticket [INDIVIDU_3].
32,Private,45796,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,"[INDIVIDU_1] a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
50,Private,183638,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,RAS pour [INDIVIDU_1] cette année. Manager : Lorraine Alexandre.
44,Private,193755,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,Performance below target for Deborah Soto. Action plan owned by [INDIVIDU_1]. [INDIVIDU_2].
66,Self-emp-not-inc,28061,7th-8th,4,Widowed,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,<=50K,Alerte comportementale signalée par [INDIVIDU_1] au sujet de [INDIVIDU_2]. Suivi RH : [EMAIL].
50,State-gov,288353,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,RAS pour [INDIVIDU_1] Le [INDIVIDU_2] cette année. Manager : [INDIVIDU_3].
36,Private,28996,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,Behavioral concern raised by colleague [INDIVIDU_1]. [INDIVIDU_2] ([EMAIL]) to follow up by 2025-03-14. Reference ticket HR-20314.
25,Private,250038,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,,<=50K,"[INDIVIDU_1] on extended leave since 2025-01-28. [INDIVIDU_2] discussed with [INDIVIDU_3], [PHONE]."
35,Private,119992,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,[INDIVIDU_1] a conflict with Kyle Richards. Mediation scheduled. HR follow-up: [EMAIL].
47,Self-emp-not-inc,258498,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,52,United-States,<=50K,"Annual review for [INDIVIDU_1]: solid contributor, no concern. Manager: [INDIVIDU_2], contact [EMAIL]."
27,Self-emp-not-inc,151402,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1573,70,United-States,<=50K,[INDIVIDU_1] flagged a conflict with [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
46,State-gov,27802,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,>50K,[INDIVIDU_1] flagged a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
31,Private,263561,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,[INDIVIDU_1] a [INDIVIDU_2]. Mediation scheduled. HR follow-up: [EMAIL].
34,Private,224358,10th,6,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K,"[INDIVIDU_1] is a strong promotion candidate this year. Discussed with HR ([INDIVIDU_2], [PHONE]). Budget pre-approved on account [IBAN]."
33,Local-gov,292217,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [INDIVIDU_1]. Coaching confié à [INDIVIDU_2] ([EMAIL]).
35,Private,148903,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K,Plan d'accompagnement ouvert pour [INDIVIDU_1]. Coaching confié à Lorraine [INDIVIDU_2] ([EMAIL]).
38,Federal-gov,48123,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Strong year for April Baker. Bonus wired to account [IBAN]. Validated by Andrew Boone on 2025-12-27.
